Localidad,Imagen,Planta,Flor,PC1S,PC2S,PC3S,PC4S,PC5S,PC6S,PC7S,PC8S,PC9S,PC10S,PC1A,PC2A,PC3A,PC4A,PC5A,PC6A,PC7A,PC8A,PC9A,PC10A
CC022,CC022_P04_F008b_181123_SEF_pm.mat,4,8,120.4821223,32.44243189,15.92926528,14.43929413,-7.091029368,6.038715591,2.66974681,8.46225934,-0.460521434,-4.053235078,11986.22735,-1723.744387,-2179.691182,1452.468543,129.1110844,-1091.311478,-118.9691044,-5.872375567,507.2840006,596.7365753
CC022,CC022_P04_F008c_181123_SEF_pm.mat,4,8,70.763357,33.90685032,-10.80793307,-1.207264193,-8.581505782,-3.507317726,-2.061988786,7.408622841,4.239439436,-1.226002844,13138.14746,-625.5595576,-2345.643259,421.4183532,916.4832882,-535.9847018,370.7044904,-355.9348628,-421.8783587,568.6802689
CC022,CC022_P04_F009a_181123_SEF_pm.mat,4,9,62.94428671,1.622843336,-7.694390739,-4.321937183,-2.53191825,-0.421279473,14.79366225,8.058667615,5.403164699,3.243088832,9894.448272,-3942.109592,-4631.543525,-1339.118537,702.4859547,-1775.220452,368.3258745,766.062315,111.6617866,542.9813462
CC022,CC022_P04_F009b_181123_SEF_pm.mat,4,9,46.60794993,32.67121433,11.79170798,5.368771895,-14.02594933,5.517494728,-6.730700526,1.977145018,-1.10953217,2.496415084,10035.51351,-2185.770835,-3570.657193,1336.409521,-921.1956293,-1684.149866,-261.5723516,467.2390222,1051.338834,250.6050409
CC022,CC022_P04_F009c_181123_SEF_pm.mat,4,9,29.13350578,14.88816872,14.85985588,-4.514742051,0.995418855,-5.297387545,-2.401755862,-0.285781865,-2.257794018,1.550523464,11667.64153,-3085.536901,-3784.074603,-1319.346026,-2221.583509,-297.0865345,-327.6478309,92.46033971,1433.487032,671.5350399
CC023,CC023_P01_F007a_181127_SEF_pm.mat,1,7,128.4785837,-5.966396382,-1.918864389,-7.529536727,-22.59616097,-2.485420162,9.039186943,3.905169255,-6.570768008,4.809987617,1826.719994,1716.046056,1530.290946,1398.421381,74.26816744,-1061.286274,-311.8033587,-82.43887221,-963.0147413,-47.93738243
CC023,CC023_P01_F007b_181127_SEF_pm.mat,1,7,101.2443844,-28.26517632,-11.48695971,-10.82170287,5.916135574,-7.984027504,-4.444979552,4.308549785,0.849360587,-1.382135894,1162.316389,2866.284418,1781.632253,1343.250068,165.7124077,-1434.414612,631.9381122,396.21244,-533.8580389,-104.8615668
CC023,CC023_P01_F007c_181127_SEF_pm.mat,1,7,117.7023888,-52.86863485,-7.923805915,2.405400935,-1.956598959,-10.24839087,-1.363542602,1.876535826,3.302874442,-3.827447151,73.65543043,2828.806851,1515.2404,3334.401809,-339.1354277,-1102.43687,886.0248273,437.3417534,-1087.664741,-47.69875177
CC023,CC023_P01_F008a_181127_SEF_pm.mat,1,8,95.96782933,-37.63020882,-20.48300128,4.137356965,8.308582754,-6.40017779,17.4972819,-2.34888611,6.645151158,-1.895984999,4889.453246,2339.970801,1073.985009,450.7120165,2458.088161,-531.6855233,647.4696574,331.6397718,-1096.796398,-245.0158293
CC023,CC023_P01_F008b_181127_SEF_pm.mat,1,8,61.57853881,-25.47928726,24.31275424,-3.034058483,6.895080378,0.446552227,-1.709686831,-2.459457101,-2.073557724,1.997493053,2032.192765,2453.089989,1851.641538,-152.3812509,-537.8070892,-411.6847146,521.5286885,297.6735229,-477.3052311,-170.6779098
