"Localidad","Planta","Areola","X_1","Y_1","X_2","Y_2","Num_esp","long_esp","dist_are","angulo","angulo_corr","posicion"
"CC034","P01","A03",-0.311,0.226,-4.698,0.892,"15",4.43726548676096,0.38444375401351,143.99456202618,306.00543797382,"K"
"CC034","P01","A03",-0.34,0.042,-5.08,-0.142,"16",4.74356996364552,0.342584296195841,172.95798579831,277.04201420169,"J"
"CC034","P01","A03",-0.354,-0.142,-4.91,-0.764,"17",4.59826271541764,0.381418405428999,-158.14282390029,248.14282390029,"I"
"CC034","P01","A03",-0.311,-0.297,-4.203,-1.896,"18",4.20766740605766,0.430034882306075,-136.319097297548,226.319097297548,"I"
"CC034","P01","A03",-0.226,-0.41,-2.505,-3.651,"19",3.96206032260994,0.468162364997444,-118.864428500592,208.864428500592,"H"
"CC034","P01","A03",-0.099,-0.509,-1.259,-4.132,"20",3.80417257757847,0.518538330309342,-101.006568306904,191.006568306904,"G"
"CC034","P01","A04",-0.026,-0.608,-0.155,-3.945,"1",3.33949247641015,0.608555667133254,-92.4486699317589,182.448669931759,"G"
"CC034","P01","A04",0.078,-0.569,2.419,-3.143,"2",3.47933283834703,0.57432133862499,-82.1944081192094,172.194408119209,"G"
"CC034","P01","A04",0.155,-0.453,2.936,-3.053,"3",3.80709351080322,0.478783876086069,-71.1109432427789,161.110943242779,"F"
"CC034","P01","A04",0.246,-0.349,3.738,-2.509,"4",4.10605211851969,0.426985948246544,-54.8211065198502,144.82110651985,"F"
"CC034","P01","A04",0.259,-0.207,4.217,-0.724,"5",3.99162285292586,0.331556933270894,-38.6328257136204,128.63282571362,"E"
"CC034","P01","A04",0.298,-0.026,4.437,0.259,"6",4.14880054955646,0.299132077851908,-4.98633449117302,94.986334491173,"D"
"CC034","P01","A04",0.285,0.116,4.475,1.552,"7",4.42924327622676,0.307702778667987,22.147188688436,67.852811311564,"C"
"CC034","P01","A04",0.298,0.259,3.104,2.884,"8",3.84242904944255,0.394822745038834,40.9948093457511,49.0051906542489,"C"
"CC034","P01","A04",0.22,0.362,2.535,2.859,"9",3.40503069002322,0.423608309644653,58.7115020163234,31.2884979836766,"B"
"CC034","P01","A04",0.155,0.479,1.966,2.561,"10",2.75942838283584,0.503454069404549,72.0689059522497,17.9310940477503,"B"
"CC034","P01","A04",0.026,0.543,-1.332,2.703,"11",2.55142391616917,0.543622111397246,87.2586620268914,2.74133797310864,"A"
"CC034","P01","A04",-0.078,0.582,-2.354,1.927,"12",2.64370970418463,0.587203542223648,97.6333446837401,352.36665531626,"A"
"CC034","P01","A04",-0.181,0.543,-2.729,1.979,"13",2.92479059079449,0.572372256490477,108.434964478992,341.565035521008,"L"
"CC034","P01","A04",-0.259,0.44,-3.363,1.85,"14",3.40923979796083,0.510569290106642,120.482631563602,329.517368436398,"L"
"CC034","P01","A04",-0.298,0.272,-3.842,1.526,"15",3.75931536320112,0.403469949314692,137.611701246567,312.388298753433,"K"
