,Id,n_cen_spin
450,CC030_P05_A9,2
451,CC031_P01_A1,2
452,CC031_P01_A10,2
453,CC031_P01_A2,1
454,CC031_P01_A3,2
455,CC031_P01_A4,1
456,CC031_P01_A5,2
457,CC031_P01_A6,2
458,CC031_P01_A7,1
459,CC031_P01_A8,2
460,CC031_P01_A9,2
461,CC031_P02_A1,2
462,CC031_P02_A10,2
463,CC031_P02_A2,2
464,CC031_P02_A3,2
465,CC031_P02_A4,2
466,CC031_P02_A5,2
467,CC031_P02_A6,2
468,CC031_P02_A7,2
469,CC031_P02_A8,2
470,CC031_P02_A9,2
471,CC031_P04_A1,2
472,CC031_P04_A10,2
473,CC031_P04_A2,2
474,CC031_P04_A3,2
475,CC031_P04_A4,2
476,CC031_P04_A5,2
477,CC031_P04_A6,2
478,CC031_P04_A7,2
479,CC031_P04_A8,2
480,CC031_P04_A9,2
481,CC031_P05_A1,2
482,CC031_P05_A10,2
483,CC031_P05_A2,1
484,CC031_P05_A3,2
485,CC031_P05_A4,2
486,CC031_P05_A5,1
487,CC031_P05_A6,2
488,CC031_P05_A7,2
489,CC031_P05_A8,2
490,CC031_P05_A9,2
491,CC031_P06_A1,2
492,CC031_P06_A10,2
493,CC031_P06_A2,2
494,CC031_P06_A3,2
495,CC031_P06_A4,2
496,CC031_P06_A5,2
497,CC031_P06_A6,2
498,CC031_P06_A7,2
499,CC031_P06_A8,2
500,CC031_P06_A9,2
501,CC032_P01_A1,2
502,CC032_P01_A10,2
503,CC032_P01_A2,2
504,CC032_P01_A3,2
505,CC032_P01_A4,2
506,CC032_P01_A5,2
507,CC032_P01_A6,2
508,CC032_P01_A7,2
509,CC032_P01_A8,2
510,CC032_P01_A9,2
511,CC032_P02_A1,2
512,CC032_P02_A10,2
513,CC032_P02_A2,2
514,CC032_P02_A3,2
515,CC032_P02_A4,2
516,CC032_P02_A5,2
517,CC032_P02_A6,2
518,CC032_P02_A7,2
519,CC032_P02_A8,2
520,CC032_P02_A9,2
521,CC032_P03_A1,2
522,CC032_P03_A10,2
523,CC032_P03_A2,2
524,CC032_P03_A3,2
525,CC032_P03_A4,2
526,CC032_P03_A5,2
527,CC032_P03_A6,2
528,CC032_P03_A7,2
529,CC032_P03_A8,2
530,CC032_P03_A9,2
531,CC032_P04_A1,2
532,CC032_P04_A10,2
533,CC032_P04_A2,2
534,CC032_P04_A3,2
535,CC032_P04_A4,2
536,CC032_P04_A5,2
537,CC032_P04_A6,2
538,CC032_P04_A7,2
539,CC032_P04_A8,2
540,CC032_P04_A9,2
541,CC032_P05_A1,2
542,CC032_P05_A10,2
543,CC032_P05_A2,2
544,CC032_P05_A3,2
545,CC032_P05_A4,2
546,CC032_P05_A5,2
547,CC032_P05_A6,2
548,CC032_P05_A7,2
549,CC032_P05_A8,2
550,CC032_P05_A9,2
551,CC033_P01_A1,2
552,CC033_P01_A10,2
553,CC033_P01_A2,2
554,CC033_P01_A3,2
555,CC033_P01_A4,2
556,CC033_P01_A5,2
557,CC033_P01_A6,2
558,CC033_P01_A7,2
559,CC033_P01_A8,2
560,CC033_P01_A9,2
561,CC033_P02_A1,0
562,CC033_P02_A10,0
563,CC033_P02_A2,0
564,CC033_P02_A3,0
565,CC033_P02_A4,0
566,CC033_P02_A5,0
567,CC033_P02_A6,0
568,CC033_P02_A7,0
569,CC033_P02_A8,0
570,CC033_P02_A9,0
571,CC033_P03_A1,1
572,CC033_P03_A10,1
573,CC033_P03_A2,1
574,CC033_P03_A3,1
575,CC033_P03_A4,1
576,CC033_P03_A5,1
577,CC033_P03_A6,1
578,CC033_P03_A7,1
579,CC033_P03_A8,1
580,CC033_P03_A9,1
581,CC033_P05_A1,1
582,CC033_P05_A10,1
583,CC033_P05_A2,1
584,CC033_P05_A3,1
585,CC033_P05_A4,1
586,CC033_P05_A5,1
587,CC033_P05_A6,1
588,CC033_P05_A7,1
589,CC033_P05_A8,1
590,CC033_P05_A9,1
591,CC033_P06_A1,1
592,CC033_P06_A10,1
593,CC033_P06_A2,1
594,CC033_P06_A3,1
595,CC033_P06_A4,1
596,CC033_P06_A5,1
597,CC033_P06_A6,1
598,CC033_P06_A7,1
599,CC033_P06_A8,1
600,CC033_P06_A9,1
601,CC034_P01_A1,2
602,CC034_P01_A10,2
603,CC034_P01_A2,2
604,CC034_P01_A3,2
605,CC034_P01_A4,2
606,CC034_P01_A5,2
607,CC034_P01_A6,2
608,CC034_P01_A7,2
609,CC034_P01_A8,2
610,CC034_P01_A9,2
611,CC034_P03_A1,2
612,CC034_P03_A10,2
613,CC034_P03_A2,2
614,CC034_P03_A3,1
615,CC034_P03_A4,2
616,CC034_P03_A5,2
617,CC034_P03_A6,1
618,CC034_P03_A7,2
619,CC034_P03_A8,2
620,CC034_P03_A9,2
621,CC034_P04_A1,2
622,CC034_P04_A10,2
623,CC034_P04_A2,2
624,CC034_P04_A3,2
625,CC034_P04_A4,2
626,CC034_P04_A5,2
627,CC034_P04_A6,2
628,CC034_P04_A7,2
629,CC034_P04_A8,2
630,CC034_P04_A9,2
631,CC034_P05_A1,1
632,CC034_P05_A10,1
633,CC034_P05_A2,1
634,CC034_P05_A3,1
635,CC034_P05_A4,1
636,CC034_P05_A5,1
637,CC034_P05_A6,1
638,CC034_P05_A7,1
639,CC034_P05_A8,1
640,CC034_P05_A9,1
641,CC034_P06_A1,2
642,CC034_P06_A10,1
643,CC034_P06_A2,2
644,CC034_P06_A3,1
645,CC034_P06_A4,2
646,CC034_P06_A5,2
647,CC034_P06_A6,2
648,CC034_P06_A7,1
649,CC034_P06_A8,2
650,CC034_P06_A9,2
651,CC035_P01_A1,2
652,CC035_P01_A10,2
653,CC035_P01_A2,2
654,CC035_P01_A3,2
655,CC035_P01_A4,2
656,CC035_P01_A5,2
657,CC035_P01_A6,2
658,CC035_P01_A7,2
659,CC035_P01_A8,2
660,CC035_P01_A9,2
661,CC035_P02_A1,2
662,CC035_P02_A10,2
663,CC035_P02_A2,2
664,CC035_P02_A3,2
665,CC035_P02_A4,2
666,CC035_P02_A5,2
667,CC035_P02_A6,2
668,CC035_P02_A7,2
669,CC035_P02_A8,2
670,CC035_P02_A9,2
671,CC035_P04_A1,2
672,CC035_P04_A10,1
673,CC035_P04_A2,2
674,CC035_P04_A3,2
675,CC035_P04_A4,2
676,CC035_P04_A5,2
677,CC035_P04_A6,2
678,CC035_P04_A7,2
679,CC035_P04_A8,2
680,CC035_P04_A9,2
681,CC035_P05_A1,2
682,CC035_P05_A10,2
683,CC035_P05_A2,2
684,CC035_P05_A3,2
685,CC035_P05_A4,2
686,CC035_P05_A5,2
687,CC035_P05_A6,2
688,CC035_P05_A7,2
689,CC035_P05_A8,2
690,CC035_P05_A9,2
691,CC035_P06_A1,2
692,CC035_P06_A10,2
693,CC035_P06_A2,2
694,CC035_P06_A3,2
695,CC035_P06_A4,2
696,CC035_P06_A5,2
697,CC035_P06_A6,2
698,CC035_P06_A7,2
699,CC035_P06_A8,2
700,CC035_P06_A9,2
701,CC036_P01_A1,4
702,CC036_P01_A10,4
703,CC036_P01_A2,4
704,CC036_P01_A3,4
705,CC036_P01_A4,4
706,CC036_P01_A5,4
707,CC036_P01_A6,4
708,CC036_P01_A7,4
709,CC036_P01_A8,4
710,CC036_P01_A9,4
711,CC036_P02_A1,3
712,CC036_P02_A10,4
713,CC036_P02_A2,3
714,CC036_P02_A3,4
715,CC036_P02_A4,3
716,CC036_P02_A5,4
717,CC036_P02_A6,4
718,CC036_P02_A7,3
719,CC036_P02_A8,4
720,CC036_P02_A9,4
721,CC036_P03_A1,2
722,CC036_P03_A10,3
723,CC036_P03_A2,3
724,CC036_P03_A3,2
725,CC036_P03_A4,2
726,CC036_P03_A5,2
727,CC036_P03_A6,3
728,CC036_P03_A7,2
729,CC036_P03_A8,3
730,CC036_P03_A9,2
731,CC036_P04_A1,4
732,CC036_P04_A10,4
733,CC036_P04_A2,4
734,CC036_P04_A3,4
735,CC036_P04_A4,4
736,CC036_P04_A5,4
737,CC036_P04_A6,4
738,CC036_P04_A7,4
739,CC036_P04_A8,4
740,CC036_P04_A9,4
741,CC036_P05_A1,4
742,CC036_P05_A10,4
743,CC036_P05_A2,4
744,CC036_P05_A3,4
745,CC036_P05_A4,4
746,CC036_P05_A5,4
747,CC036_P05_A6,4
748,CC036_P05_A7,4
749,CC036_P05_A8,4
750,CC036_P05_A9,4
751,CC038_P01_A1,2
752,CC038_P01_A10,2
753,CC038_P01_A2,2
754,CC038_P01_A3,2
755,CC038_P01_A4,2
756,CC038_P01_A5,2
757,CC038_P01_A6,2
758,CC038_P01_A7,2
759,CC038_P01_A8,2
760,CC038_P01_A9,2
761,CC038_P02_A1,2
762,CC038_P02_A10,2
763,CC038_P02_A2,2
764,CC038_P02_A3,2
765,CC038_P02_A4,2
766,CC038_P02_A5,2
767,CC038_P02_A6,2
768,CC038_P02_A7,2
