"Localidad","Planta","Areola","X_1","Y_1","X_2","Y_2","Num_esp","long_esp","dist_are","posicion"
"CC022","P02","A06",-0.019,-0.067,4.584,3.943,"1",6.10472841328752,0.0696419413859206,"sup"
"CC022","P02","A07",-0.019,-0.067,4.584,3.943,"1",6.10472841328752,0.0696419413859206,"sup"
"CC022","P02","A08",0.119,0.127,5.228,4.153,"1",6.50465656280176,0.174040225235432,"sup"
"CC022","P02","A09",-0.031,0.018,5.139,4.233,"1",6.67046662535688,0.0358468966578698,"sup"
"CC022","P02","A10",0.037,0.139,5.906,4.562,"1",7.34901966251282,0.143840189098875,"sup"
"CC022","P03","A01",0.033,0.112,4.999,2.605,"1",5.5566361226915,0.116760438505514,"sup"
"CC022","P03","A02",0.044,0.169,5.135,2.67,"1",5.67214968067663,0.1746339027795,"sup"
"CC022","P03","A03",0.013,-0.038,3.784,1.618,"1",4.11858920019951,0.0401621712560464,"sup"
"CC022","P03","A04",0.066,0.215,5.583,2.543,"1",5.98806087143409,0.224902200967443,"sup"
"CC022","P03","A05",0,0.054,3.989,2.165,"1",4.51314103480049,0.054,"sup"
"CC022","P03","A06",-0.008,0.115,4.845,2.739,"1",5.51697244872584,0.115277925033373,"sup"
"CC022","P03","A07",0.057,0.196,4.949,2.626,"1",5.46228560219987,0.204120062708201,"sup"
"CC022","P03","A08",0.003,0.106,4.118,2.222,"1",4.62716770822066,0.106042444332446,"sup"
"CC022","P03","A09",0.078,0.227,5.1,2.522,"1",5.52154951078047,0.240027081805366,"sup"
"CC022","P03","A10",0.026,0.221,5.009,3.327,"1",5.87175655149292,0.222524155992108,"sup"
"CC022","P04","A01",0.008,0.214,4.905,3.233,"1",5.7528227853811,0.214149480503689,"sup"
"CC022","P04","A01",0.016,-0.198,4.524,-1.995,"2",4.85296538211432,0.198645412733343,"inf"
"CC022","P04","A02",0.018,0.286,4.226,2.285,"1",4.65867631414761,0.286565873753313,"sup"
"CC022","P04","A02",-0.021,-0.259,3.114,-1.954,"2",3.56388131115502,0.259849956705788,"inf"
"CC022","P04","A03",0.035,0.296,4.072,2.668,"1",4.68228074766988,0.298062074071828,"sup"
"CC022","P04","A03",0.027,-0.238,3.718,-1.91,"2",4.0520445456584,0.23952661647508,"inf"
"CC022","P04","A04",0.027,0.242,4.971,2.418,"1",5.40167677670554,0.243501540036198,"sup"
"CC022","P04","A04",0.004,-0.142,3.31,-3.041,"2",4.39702592669181,0.142056326856638,"inf"
"CC022","P04","A05",0.074,0.348,5.007,2.516,"1",5.38838686435931,0.355780831411699,"sup"
"CC022","P04","A05",0.025,-0.215,3.782,-3.062,"2",4.7138580801717,0.216448608219134,"inf"
"CC022","P04","A06",0.004,0.212,3.999,3.082,"1",4.91903699925097,0.212037732491177,"sup"
"CC022","P04","A06",-0.036,-0.256,3.484,-2.721,"2",4.29728111717165,0.258518858112904,"inf"
"CC022","P04","A07",-0.011,0.283,3.871,2.296,"1",4.37288154424517,0.283213700233587,"sup"
"CC022","P04","A07",0.011,-0.197,3.923,-1.804,"2",4.22920713609537,0.197306867594618,"inf"
"CC022","P04","A08",0.053,0.2,4.324,2.708,"1",4.95292893145056,0.206903359083414,"sup"
"CC022","P04","A08",0.019,-0.289,3.877,-2.965,"2",4.69522523421401,0.289623894041911,"inf"
"CC022","P04","A09",-0.008,0.194,4.042,2.638,"1",4.73028920891736,0.194164878389476,"sup"
"CC022","P04","A09",-0.051,-0.178,3.805,-2.545,"2",4.52453588780109,0.18516209115259,"inf"
"CC022","P04","A10",0.012,0.187,4.337,2.016,"1",4.69583496302841,0.187384631173424,"sup"
"CC022","P04","A10",-0.044,-0.195,3.232,-2.556,"2",4.03813038422486,0.199902476222782,"inf"
"CC022","P05","A01",-0.113,0.138,3.592,3.175,"1",4.79065694868668,0.178361991466792,"sup"
"CC022","P05","A01",-0.104,-0.213,3.984,-2.766,"2",4.81970465900142,0.237033752870767,"inf"
"CC022","P05","A02",0.023,0.242,3.662,2.627,"1",4.35092472929606,0.243090518120308,"sup"
